Parameter,Median,CI,pd,Rhat,ESS
Intercept,1.408,"[1.042, 1.781]",1,1.001,2404
Baseline GPA,0.59,"[0.526, 0.646]",1,1.001,4808
Treatment (Affirmed vs. Control),0.026,"[-0.008, 0.069]",0.866,1,3593
Psychological Threat,-0.015,"[-0.052, 0.022]",0.737,1,3978
Treatment X Psychological Threat,-0.017,"[-0.064, 0.037]",0.695,1,3974
Grade 7 (vs. Grade 6),0.171,"[-0.177, 0.527]",0.789,1.003,1799
Grade 8 (vs. Grade 6),0.424,"[0.087, 0.785]",0.971,1.003,1506
Grade 9 (vs. Grade 6),0.077,"[-0.277, 0.418]",0.648,1.001,1688
Grade 10 (vs. Grade 6),0.056,"[-0.301, 0.397]",0.605,1.002,1779
Gender (Male vs. Female),-0.025,"[-0.061, 0.010]",0.874,0.999,5736
Age,-0.002,"[-0.013, 0.010]",0.609,1.001,4975
Disability Status (Hearing vs. Deaf),0.164,"[0.027, 0.283]",0.983,1,5318
Father Education (Basic education (Class 1 to 8) vs. Bachelor and above),-0.207,"[-0.311, -0.107]",1,1.001,2085
Father Education (Do not go to school vs. Bachelor and above),-0.147,"[-0.264, -0.032]",0.977,1,2355
Father Education (Non-response vs. Bachelor and above),-0.215,"[-0.324, -0.105]",1,1.001,2136
Father Education (Secondary education (Class 9 to 12) vs. Bachelor and above),-0.144,"[-0.249, -0.049]",0.991,1.001,2098
Father Education (Some college education vs. Bachelor and above),-0.464,"[-0.698, -0.275]",1,1.001,3722
Mother Education (Do not go to school vs. Bachelor and above),0.045,"[-0.003, 0.094]",0.922,0.999,4974
Mother Education (Non-response vs. Bachelor and above),0.07,"[0.012, 0.131]",0.971,1,5039
Mother Education (Secondary education (Class 9 to 12) vs. Bachelor and above),0.011,"[-0.038, 0.057]",0.643,1,4500
Mother Education (Some college education vs. Bachelor and above),-0.146,"[-0.411, 0.137]",0.789,1,3670
Father Occupation (Non-salary job vs. No job),-0.008,"[-0.054, 0.034]",0.612,0.999,5006
Father Occupation (Salary job vs. No job),-0.013,"[-0.058, 0.031]",0.686,0.999,4467
Mother Occupation (Non-salary job vs. No job),-0.052,"[-0.091, -0.008]",0.976,0.999,4683
Mother Occupation (Salary job vs. No job),0.026,"[-0.030, 0.085]",0.773,0.999,4342
Number of Adult Members in Household,0.004,"[-0.008, 0.017]",0.713,1,4431
Number of Siblings,-0.008,"[-0.023, 0.007]",0.811,1,4625
Kathmandu School (vs. Baglung School),-0.341,"[-0.618, -0.048]",0.963,0.999,2062
Pokhara School (vs. Baglung School),-0.24,"[-0.488, 0.053]",0.922,1.001,1927
SD_Class_Intercept,0.261,"[0.155, 0.396]",1,1.001,1265
SD_Class_Treatment,0.033,"[0.000, 0.075]",1,1.001,1813
Cor_Class_Intercept_Treatment,0.036,"[-0.788, 0.903]",0.52,1.001,3165
Residual SD,0.156,"[0.143, 0.169]",1,1,4342
