ind_words,inter_words
abilit*,accept*
achiev*,acquies*
acquir*,affection*
advance*,agree*
ahead,assist*
aim*,associate
ambiti*,associated
aptitude,associates
aspir*,attach*
assert*,aunt*
attain*,belonging*
autonomous,brother*
better*,care
bor*,cared
capab*,cares
capacity,caring
chang*,celebrat*
choice*,charitabl*
command*,cheer*
compet*,close-knit
confidence,closeness
confident,club*
control*,cohesive
create*,collab*
curiosit*,comfort*
decisive*,commun*
design*,compassion*
desire*,complement*
determin*,complie*
develop*,comply
direct*,conced*
discover*,concern*
distin*,concur*
domina*,condolence*
driv*,confide
dull,confided
earn*,confides
endeavor*,confiding
enthuse*,connect*
establish*,considerat*
esteem,consol*
exceed*,contribut*
expand*,cooperat*
express*,cousin*
find*,depend*
forward*,devot*
fulfil*,donat*
gain*,dutiful*
goal*,empath*
grow*,encour*
improv*,famil*
independ*,favor*
individual*,friend*
initiat*,giv*
inquisitive*,grandd*
interest*,grandf*
invent*,grandm*
lead*,grandp*
master*,granny
mine,great-*
monotony,group*
mundane,guid*
myself,harmon*
objective*,inclu*
obtain*,interdependen*
original*,interpersonal
outspoken,intima*
personal*,join*
pioneer*,kindness*
potential,lean
procure*,lov*
proficien*,loyal
progress*,member*
purpose*,negotiate*
pursu*,neighbor*
recognition,nephew*
repetitive*,network*
seek,niece*
self,nurtur*
self-*,obedien*
skill*,others
striv*,ourselves
strong-*,parent*
success*,people*
superior*,provid*
talent*,reassur*
tedious,relate*
tedium,relation*
thirst*,reliable
triumph,respond*
uninteresting,responsive
unique,sensitiv*
win*,service*
,shar*
,sibling*
,sister*
,soci*
,solidarity
,step-*
,submissive*
,support*
,sympath*
,team*
,together
,tolera*
,trust*
,unanim*
,uncle*
,unconditional*
,unite*
,unity
,warmth
,welcom*
,welfare
